timestamp,length,direction,src_ip,dst_ip,relative_time
1760125443.9905155,602,incoming,64.65.63.15,192.168.202.136,339.43123626708984
1760125443.9906538,66,outgoing,192.168.202.136,64.65.63.15,339.4313745498657
1760125444.6240335,602,outgoing,192.168.202.136,64.65.63.15,340.0647542476654
1760125444.648329,66,incoming,64.65.63.15,192.168.202.136,340.0890498161316
1760125445.1312747,602,incoming,64.65.63.15,192.168.202.136,340.5719954967499
1760125445.1314318,66,outgoing,192.168.202.136,64.65.63.15,340.5721526145935
1760125445.2275681,2144,outgoing,192.168.202.136,64.65.63.15,340.66828894615173
1760125445.2481654,66,incoming,64.65.63.15,192.168.202.136,340.6888861656189
1760125445.2481658,66,incoming,64.65.63.15,192.168.202.136,340.68888664245605
1760125446.0696926,2736,incoming,64.65.63.15,192.168.202.136,341.5104134082794
1760125446.0698822,66,outgoing,192.168.202.136,64.65.63.15,341.5106029510498
1760125446.0701911,502,incoming,64.65.63.15,192.168.202.136,341.5109119415283
1760125446.070336,66,outgoing,192.168.202.136,64.65.63.15,341.5110569000244
1760125446.0808885,1401,incoming,64.65.63.15,192.168.202.136,341.52160930633545
1760125446.081057,66,outgoing,192.168.202.136,64.65.63.15,341.5217778682709
1760125446.0879478,179,incoming,64.65.63.15,192.168.202.136,341.52866864204407
1760125446.0881026,66,outgoing,192.168.202.136,64.65.63.15,341.5288233757019
1760125446.328295,182,incoming,64.65.63.15,192.168.202.136,341.769015789032
1760125446.328475,66,outgoing,192.168.202.136,64.65.63.15,341.7691957950592
1760125446.3319986,602,outgoing,192.168.202.136,64.65.63.15,341.77271938323975
1760125446.355039,66,incoming,64.65.63.15,192.168.202.136,341.79575967788696
1760125446.8649879,602,incoming,64.65.63.15,192.168.202.136,342.3057086467743
1760125446.866632,602,outgoing,192.168.202.136,64.65.63.15,342.3073527812958
1760125446.8934896,66,incoming,64.65.63.15,192.168.202.136,342.334210395813
1760125446.8935425,602,outgoing,192.168.202.136,64.65.63.15,342.33426332473755
1760125446.918633,66,incoming,64.65.63.15,192.168.202.136,342.35935378074646
1760125447.5332053,602,incoming,64.65.63.15,192.168.202.136,342.9739260673523
1760125447.574375,66,outgoing,192.168.202.136,64.65.63.15,343.0150957107544
1760125448.3052924,602,incoming,185.220.101.106,192.168.202.136,343.74601316452026
1760125448.3053677,66,outgoing,192.168.202.136,185.220.101.106,343.74608850479126
1760125449.578769,1116,incoming,64.65.63.15,192.168.202.136,345.01948976516724
1760125449.5789108,66,outgoing,192.168.202.136,64.65.63.15,345.0196316242218
1760125449.58139,1116,outgoing,192.168.202.136,185.220.101.106,345.0221107006073
1760125449.6593418,66,incoming,185.220.101.106,192.168.202.136,345.1000626087189
1760125454.4897752,602,outgoing,192.168.202.136,185.220.101.106,349.93049597740173
1760125454.5143628,66,incoming,185.220.101.106,192.168.202.136,349.9550836086273
1760125455.436125,602,incoming,64.65.63.15,192.168.202.136,350.8768458366394
1760125455.4363253,66,outgoing,192.168.202.136,64.65.63.15,350.87704610824585
1760125459.8273883,602,incoming,185.220.101.106,192.168.202.136,355.26810908317566
1760125459.8275409,66,outgoing,192.168.202.136,185.220.101.106,355.2682616710663
1760125460.982782,602,outgoing,192.168.202.136,64.65.63.15,356.4235026836395
1760125461.0050151,66,incoming,64.65.63.15,192.168.202.136,356.4457359313965
1760125465.001963,602,outgoing,192.168.202.136,185.220.101.106,360.4426836967468
1760125465.0219848,66,incoming,185.220.101.106,192.168.202.136,360.4627056121826
1760125470.0567691,602,incoming,64.65.63.15,192.168.202.136,365.4974899291992
1760125470.0569224,66,outgoing,192.168.202.136,64.65.63.15,365.4976432323456
1760125471.6397052,2746,outgoing,192.168.202.136,64.65.63.15,367.0804259777069
1760125471.6397233,492,outgoing,192.168.202.136,64.65.63.15,367.0804440975189
1760125471.6397393,2746,outgoing,192.168.202.136,185.220.101.106,367.0804600715637
